Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,3414.850669,0,1.7976931348623157E308,1850989,0.0,0.0,1,3414.850669,0,0.0,SAT,,394.383,
2,1,1,3342.893163,0,1.7976931348623157E308,1939336,0.0,0.0,1,3342.893163,1,0.0,SAT,,393.789,
3,2,1,3375.61661,0,1.7976931348623157E308,1939336,0.0,0.0,1,3375.61661,1,0.0,SAT,,397.928,
4,2,1,3628.250106,0,1.7976931348623157E308,1850989,0.0,0.0,1,3628.250106,1,0.0,SAT,,391.049,
5,1,1,3334.500126,0,1.7976931348623157E308,10507493,0.0,0.0,1,3334.500126,1,0.0,SAT,,401.828,
6,3,1,3322.927546,0,1.7976931348623157E308,10507493,0.0,0.0,1,3322.927546,1,0.0,SAT,,398.321,
7,3,1,3302.338243,0,1.7976931348623157E308,1850989,0.0,0.0,1,3302.338243,1,0.0,SAT,,396.75,
8,3,1,3346.851391,0,1.7976931348623157E308,1939336,0.0,0.0,1,3346.851391,1,0.0,SAT,,394.276,
9,3,1,3383.744864,0,1.7976931348623157E308,2943959,0.0,0.0,1,3383.744864,1,0.0,SAT,,393.928,
10,4,1,3489.641425,0,1.7976931348623157E308,1939336,0.0,0.0,1,3489.641425,1,0.0,SAT,,397.62,
11,3,1,3318.043409,0,1.7976931348623157E308,9181008,0.0,0.0,1,3318.043409,1,0.0,SAT,,390.383,
12,1,1,3309.441213,0,1.7976931348623157E308,2943959,0.0,0.0,1,3309.441213,1,0.0,SAT,,390.035,
13,3,1,3303.017338,0,1.7976931348623157E308,6339022,0.0,0.0,1,3303.017338,2,0.0,SAT,,398.758,
14,5,1,3270.494526,0,1.7976931348623157E308,2943959,0.0,0.0,1,3270.494526,2,0.0,SAT,,392.727,
15,5,1,3441.355406,0,1.7976931348623157E308,9181008,0.0,0.0,1,3441.355406,2,0.0,SAT,,403.9,
16,5,1,3534.004848,0,1.7976931348623157E308,1850989,0.0,0.0,1,3534.004848,2,0.0,SAT,,400.374,
17,3,1,3298.180013,0,1.7976931348623157E308,11051481,0.0,0.0,1,3298.180013,2,0.0,SAT,,399.438,
18,6,1,3603.144521,0,1.7976931348623157E308,2943959,0.0,0.0,1,3603.144521,2,0.0,SAT,,401.201,
19,3,1,3159.023907,0,1.7976931348623157E308,5492725,0.0,0.0,1,3159.023907,2,0.0,SAT,,403.852,
20,5,1,3448.024864,0,1.7976931348623157E308,5492725,0.0,0.0,1,3448.024864,2,0.0,SAT,,394.655,
21,3,1,3214.924769,0,1.7976931348623157E308,6857780,0.0,0.0,1,3214.924769,2,0.0,SAT,,392.288,
22,6,1,3569.447149,0,1.7976931348623157E308,10507493,0.0,0.0,1,3569.447149,2,0.0,SAT,,407.516,
