1: crossover='0.9', inds='500', mutation='0.1', n_generations='100'
2: crossover='0.5676678130579074', inds='554', mutation='0.3164017654332806', n_generations='53'
3: crossover='0.6756352712089525', inds='347', mutation='0.3122844671947156', n_generations='68'
4: crossover='0.5071183337752125', inds='602', mutation='0.6098036148496353', n_generations='90'
5: crossover='0.24176700013976005', inds='311', mutation='0.06709569312703456', n_generations='98'
6: crossover='0.6045843604358732', inds='370', mutation='0.1336491919604602', n_generations='66'
7: crossover='0.861906127387494', inds='502', mutation='0.1943235210297668', n_generations='147'
8: crossover='0.8641736648628883', inds='646', mutation='0.49215092596031673', n_generations='56'
9: crossover='0.04728159476098781', inds='735', mutation='0.4388766352374135', n_generations='130'
10: crossover='0.7222216324178854', inds='523', mutation='0.7105458735212773', n_generations='89'
11: crossover='0.053664168967122006', inds='269', mutation='0.5430954854123229', n_generations='109'
12: crossover='0.24236079138289202', inds='630', mutation='0.3741639124772618', n_generations='53'
13: crossover='0.031198711531233436', inds='509', mutation='0.8953717500652263', n_generations='126'
14: crossover='0.7330912634471864', inds='660', mutation='0.8263712377223048', n_generations='82'
15: crossover='0.060367763758978454', inds='536', mutation='0.33487988018670223', n_generations='103'
16: crossover='0.5466394538203796', inds='532', mutation='0.49769992414068365', n_generations='55'
17: crossover='0.27234962738013957', inds='502', mutation='0.20255950187224714', n_generations='60'
18: crossover='0.3128425646270747', inds='663', mutation='0.8573322878823839', n_generations='84'
19: crossover='0.16888051142382488', inds='555', mutation='0.5531092068422432', n_generations='73'
20: crossover='0.8549094464557855', inds='424', mutation='0.23621904885928613', n_generations='54'
21: crossover='0.9351387742880861', inds='634', mutation='0.9700565745660132', n_generations='54'
22: crossover='0.7161364506242589', inds='649', mutation='0.7760285347119664', n_generations='115'
23: crossover='0.7031444353525463', inds='350', mutation='0.2906474370440397', n_generations='138'
24: crossover='0.7769382324814927', inds='629', mutation='0.37671792955266636', n_generations='107'
25: crossover='0.03703708399670347', inds='550', mutation='0.01030826719958633', n_generations='134'
