1: params='algorithm/gaParams.txt', region='EastJapan', tournsize='3', year='2006'
2: params='algorithm/gaParams.txt', region='EastJapan', tournsize='10', year='2006'
3: params='algorithm/gaParams.txt', region='EastJapan', tournsize='50', year='2006'
4: params='algorithm/gaParams.txt', region='EastJapan', tournsize='36', year='2006'
5: params='algorithm/gaParams.txt', region='EastJapan', tournsize='33', year='2006'
6: params='algorithm/gaParams.txt', region='EastJapan', tournsize='32', year='2006'
7: params='algorithm/gaParams.txt', region='EastJapan', tournsize='30', year='2006'
8: params='algorithm/gaParams.txt', region='EastJapan', tournsize='12', year='2006'
9: params='algorithm/gaParams.txt', region='EastJapan', tournsize='6', year='2006'
10: params='algorithm/gaParams.txt', region='EastJapan', tournsize='2', year='2006'
11: params='algorithm/gaParams.txt', region='EastJapan', tournsize='49', year='2006'
12: params='algorithm/gaParams.txt', region='EastJapan', tournsize='9', year='2006'
13: params='algorithm/gaParams.txt', region='EastJapan', tournsize='31', year='2006'
14: params='algorithm/gaParams.txt', region='EastJapan', tournsize='39', year='2006'
15: params='algorithm/gaParams.txt', region='EastJapan', tournsize='23', year='2006'
16: params='algorithm/gaParams.txt', region='EastJapan', tournsize='16', year='2006'
17: params='algorithm/gaParams.txt', region='EastJapan', tournsize='8', year='2006'
18: params='algorithm/gaParams.txt', region='EastJapan', tournsize='13', year='2006'
19: params='algorithm/gaParams.txt', region='EastJapan', tournsize='44', year='2006'
20: params='algorithm/gaParams.txt', region='EastJapan', tournsize='14', year='2006'
21: params='algorithm/gaParams.txt', region='EastJapan', tournsize='4', year='2006'
22: params='algorithm/gaParams.txt', region='EastJapan', tournsize='29', year='2006'
23: params='algorithm/gaParams.txt', region='EastJapan', tournsize='26', year='2006'
24: params='algorithm/gaParams.txt', region='EastJapan', tournsize='47', year='2006'
25: params='algorithm/gaParams.txt', region='EastJapan', tournsize='28', year='2006'
26: params='algorithm/gaParams.txt', region='EastJapan', tournsize='5', year='2006'
27: params='algorithm/gaParams.txt', region='EastJapan', tournsize='11', year='2006'
28: params='algorithm/gaParams.txt', region='EastJapan', tournsize='15', year='2006'
29: params='algorithm/gaParams.txt', region='EastJapan', tournsize='43', year='2006'
30: params='algorithm/gaParams.txt', region='EastJapan', tournsize='37', year='2006'
31: params='algorithm/gaParams.txt', region='EastJapan', tournsize='24', year='2006'
32: params='algorithm/gaParams.txt', region='EastJapan', tournsize='27', year='2006'
33: params='algorithm/gaParams.txt', region='EastJapan', tournsize='48', year='2006'
34: params='algorithm/gaParams.txt', region='EastJapan', tournsize='45', year='2006'
35: params='algorithm/gaParams.txt', region='EastJapan', tournsize='34', year='2006'
36: params='algorithm/gaParams.txt', region='EastJapan', tournsize='21', year='2006'
