Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,0,0.0,SAT,,2.085,
2,2,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,1,0.0,SAT,,0.83,
3,3,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,1,0.0,SAT,,0.747,
4,4,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,1,0.0,SAT,,0.908,
5,5,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,1,0.0,SAT,,0.724,
6,6,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,1,0.0,SAT,,0.694,
7,7,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,1,0.0,SAT,,0.811,
8,8,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,1,0.0,SAT,,0.767,
9,9,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,1,0.0,SAT,,0.692,
10,10,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,1,0.0,SAT,,0.658,
11,11,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,1,0.0,SAT,,0.918,
12,12,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,1,0.0,SAT,,0.897,
13,13,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,2,0.0,SAT,,0.704,
14,14,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,2,0.0,SAT,,0.685,
15,15,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,2,0.0,SAT,,0.611,
16,16,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,2,0.0,SAT,,0.653,
17,17,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,2,0.0,SAT,,0.687,
18,18,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,2,0.0,SAT,,0.906,
19,19,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,2,0.0,SAT,,0.585,
20,20,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,2,0.0,SAT,,0.677,
21,21,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,2,0.0,SAT,,0.559,
22,22,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,2,0.0,SAT,,0.573,
23,23,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,3,0.0,SAT,,0.556,
24,24,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,3,0.0,SAT,,0.65,
25,25,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,3,0.0,SAT,,0.578,
26,26,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,3,0.0,SAT,,0.609,
27,27,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,3,0.0,SAT,,0.547,
28,28,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,3,0.0,SAT,,0.551,
29,29,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,3,0.0,SAT,,0.56,
30,30,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,3,0.0,SAT,,0.552,
31,31,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,3,0.0,SAT,,0.559,
32,32,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,3,0.0,SAT,,0.549,
33,33,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,4,0.0,SAT,,0.592,
34,34,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,4,0.0,SAT,,0.583,
35,35,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,4,0.0,SAT,,0.549,
36,36,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,4,0.0,SAT,,0.551,
37,37,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,4,0.0,SAT,,0.565,
38,38,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,4,0.0,SAT,,0.56,
39,39,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,4,0.0,SAT,,0.566,
40,40,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,4,0.0,SAT,,0.582,
41,41,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,4,0.0,SAT,,0.561,
42,42,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,4,0.0,SAT,,0.568,
43,43,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,4,0.0,SAT,,0.545,
44,44,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,5,0.0,SAT,,0.547,
45,45,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,5,0.0,SAT,,0.55,
46,46,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,5,0.0,SAT,,0.542,
47,47,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,5,0.0,SAT,,0.585,
48,48,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,5,0.0,SAT,,0.525,
49,49,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,5,0.0,SAT,,0.563,
50,50,1,0.0,0,1.7976931348623157E308,-1,0.0,0.0,1,0.0,5,0.0,SAT,,0.557,
