ngen	time   	min     	avg     	max     	std    
0   	10.959 	-20196.7	-16582  	-12861.2	1193.3 
1   	14.9764	-20107.7	-16071.3	-12620.6	1137.85
2   	19.0741	-20332.2	-15947.6	-12620.6	1476.74
3   	23.0007	-18845.1	-15602.4	-12599.4	1168.18
4   	26.689 	-18520.4	-15364.3	-12380.7	1179.59
5   	30.3592	-20142.9	-15951.4	-12380.7	1403.48
6   	34.0319	-21503.2	-16365.8	-12380.7	1586.72
7   	37.9957	-20355.4	-16528.1	-12380.7	1563.15
8   	42.1364	-21048.7	-16468.4	-12380.7	1644.76
9   	45.8992	-20826.8	-17175.9	-12380.7	1480.9 
10  	49.6868	-21562.4	-16284  	-12380.7	1447.18
11  	53.4304	-19954  	-16458.9	-12380.7	1326.44
12  	57.2062	-19342.7	-16234.1	-12380.7	1295.25
13  	61.3021	-19861.9	-16676.9	-12380.7	1277.63
14  	64.967 	-22654.6	-18529.1	-12380.7	1692.3 
15  	68.5872	-20654.9	-17352.3	-12380.7	1286.87
16  	72.3475	-21449.1	-17853.5	-12380.7	1406.73
17  	76.3221	-20925.6	-17614.6	-12380.7	1188.27
18  	80.1795	-20282.6	-16897.1	-12380.7	1295.93
19  	84.1438	-20945.1	-17447.6	-12380.7	1427.32
20  	88.2713	-20644.9	-16643.5	-12380.7	1375.43
21  	92.2218	-23611.2	-19307.7	-12380.7	2031.28
22  	95.9546	-20981.2	-17507.5	-12380.7	1173.27
23  	99.9434	-21241.5	-17668.7	-12380.7	1386.69
24  	103.985	-20945.4	-17469  	-12380.7	1245.97
25  	108.144	-20678.6	-16978.7	-12380.7	1511.15
26  	111.7  	-21848.7	-18071.2	-12380.7	1663.98
27  	115.507	-19451.5	-15847.9	-12380.7	1294.32
28  	119.735	-19597.5	-16222.5	-12380.7	1204.18
29  	123.716	-20582  	-17260.7	-12380.7	1547.86
30  	127.767	-24498.7	-19446.7	-12380.7	2017.64
31  	131.726	-23287.3	-19043.5	-12380.7	1367.06
32  	135.504	-22194.9	-18514.8	-12380.7	1323.16
33  	139.373	-22477.3	-16798.2	-12380.7	1606.6 
34  	143.048	-20109.8	-17316.7	-12380.7	1246.44
35  	147.085	-21258.2	-16424.1	-12380.7	1262.81
36  	151.134	-22208.7	-17912.6	-12380.7	1509.11
37  	155.156	-20478.2	-17654.1	-12380.7	1227.82
38  	158.951	-21747.4	-18189.1	-12380.7	1154.22
39  	162.786	-22792.7	-20505.3	-12380.7	1193.42
40  	166.345	-20944.6	-17392.1	-12380.7	1220.67
41  	170.535	-19638.2	-16834.5	-12380.7	811.77 
42  	174.553	-20892.3	-18676.1	-12380.7	970.719
43  	178.289	-19928.8	-17858.7	-12380.7	878.546
44  	181.968	-19954.2	-18007.3	-12380.7	794.156
45  	185.756	-21331.7	-19183.1	-12380.7	948.266
46  	189.47 	-19749.5	-16887.6	-12380.7	855.973
47  	193.073	-17984.5	-17127.3	-12380.7	547.083
48  	196.726	-20651.5	-17966.6	-12380.7	829.956
49  	200.782	-19844.5	-18428.7	-12380.7	746.245
50  	204.595	-18872.5	-16490.9	-12380.7	759.4  
51  	208.286	-22044.1	-19806.3	-12380.7	1558.56
52  	211.978	-20815.2	-18346.9	-12380.7	949.414
53  	216.079	-21830.6	-19663.5	-12380.7	955.475
54  	220.255	-20728.2	-17832.1	-12380.7	661.308
55  	223.983	-20924  	-17947.4	-12380.7	695.215
56  	227.862	-20752.8	-18417.6	-12380.7	665.751
57  	231.515	-20734.7	-18728.5	-12380.7	768.578
58  	235.429	-21796.2	-19070.3	-12380.7	682.804
59  	239.074	-19567.6	-17260  	-12380.7	752.505
60  	242.856	-17905.6	-15795.7	-12380.7	708.388
61  	246.744	-19838.7	-17824.8	-12380.7	1359.54
62  	250.884	-21249.7	-19625.6	-12380.7	1149.46
63  	254.935	-21765.1	-20330.4	-12380.7	1016.97
64  	258.68 	-20828.4	-19025.9	-12380.7	847.267
65  	262.487	-21619.2	-17459.1	-12380.7	1324.38
66  	266.542	-21550.8	-16934.7	-12380.7	854.364
67  	270.347	-20721.5	-16640.9	-12380.7	620.944
68  	274.097	-20396.7	-15927.9	-12380.7	375.547
69  	277.764	-17638.4	-16747.1	-12380.7	421.864
70  	281.61 	-19037.7	-17914.4	-12380.7	603.587
71  	285.436	-22428.8	-16925.1	-12380.7	770.423
72  	289.229	-21647.7	-18547.5	-12380.7	785.17 
73  	292.972	-19144.7	-15699  	-12380.7	756.187
74  	296.792	-22864.2	-19781.1	-12380.7	1625.38
75  	300.545	-22596.8	-17926.8	-12380.7	834.925
