gen	depth	min     	avg     	max     	std    
   	60   	-675.744	-644.955	-617.398	10.8374
   	60   	-670.31 	-639.532	-600.387	10.5114
   	60   	-667.462	-637.48 	-600.387	10.7435
   	60   	-665.44 	-636.986	-600.387	10.9867
   	60   	-666.314	-635.148	-600.387	11.5066
   	60   	-679.15 	-640.732	-600.387	13.9088
   	60   	-673.47 	-640.978	-600.176	11.387 
   	60   	-674.161	-638.6  	-600.176	11.3434
   	60   	-675.481	-643.833	-600.176	12.8622
   	60   	-684.147	-647.743	-600.176	13.3854
   	60   	-679.025	-648.289	-600.176	11.6458
   	60   	-679.297	-650.2  	-600.176	11.9321
   	60   	-685.381	-654.914	-600.176	13.2077
   	60   	-686.45 	-657.858	-600.176	12.7306
   	60   	-688.444	-652.419	-600.176	11.6585
   	60   	-694.125	-654.878	-600.176	12.3643
   	60   	-679.56 	-648.184	-600.176	12.5028
   	60   	-678.578	-651.065	-600.176	10.3655
   	60   	-679.711	-650.171	-600.176	11.1111
   	60   	-689.906	-653.668	-600.176	16.5316
   	60   	-690.698	-659.708	-600.176	16.1941
   	60   	-680.148	-648.849	-600.176	14.1231
   	60   	-686.025	-655.443	-600.176	11.8273
   	60   	-679.667	-649.657	-600.176	12.1491
   	60   	-683.149	-652.72 	-600.176	10.8054
   	60   	-697.031	-646.043	-597.801	19.435 
   	60   	-694.327	-655.59 	-597.801	15.7801
   	60   	-683.721	-644.628	-597.801	13.0528
   	60   	-680.85 	-645.412	-597.801	11.9589
   	60   	-683.309	-653.755	-597.801	11.2169
   	60   	-689.737	-655.062	-597.801	14.4424
   	60   	-687.253	-654.578	-597.801	10.8977
   	60   	-707.344	-669.043	-597.801	14.8408
   	60   	-677.06 	-651.185	-597.801	8.56015
   	60   	-695.311	-661.507	-597.801	13.0796
   	60   	-674.17 	-643.495	-597.801	12.1346
   	60   	-680.885	-659.786	-597.801	10.6426
   	60   	-684.701	-658.09 	-597.801	8.60775
   	60   	-696.629	-660.459	-597.801	10.0203
   	60   	-685.371	-657.689	-597.801	10.2796
   	60   	-681.129	-651.304	-597.801	12.2727
   	60   	-682.099	-648.293	-597.801	11.5192
   	60   	-678.599	-650.048	-597.801	10.2998
   	60   	-673.172	-649.079	-597.801	9.99282
   	60   	-690.739	-656.52 	-597.801	11.4058
   	60   	-688.796	-665.555	-597.801	9.24537
   	60   	-688.966	-655.973	-597.801	10.2878
   	60   	-683.477	-663.057	-597.801	8.07892
   	60   	-671.766	-654.937	-597.801	8.06631
   	60   	-670.334	-648.054	-597.801	8.4326 
   	60   	-687.623	-666.653	-597.801	12.6237
   	60   	-672.348	-643.475	-597.801	9.82759
   	60   	-669.098	-647.218	-597.801	9.63292
   	60   	-671.49 	-644.695	-597.801	10.723 
   	60   	-688.591	-662.849	-597.801	13.8217
   	60   	-684.899	-657.773	-597.801	11.4563
   	60   	-675.611	-650.479	-597.801	9.65784
   	60   	-680.286	-651.202	-597.801	9.19099
   	60   	-697.021	-659.058	-597.801	11.8469
   	60   	-665.351	-642.93 	-597.801	8.09209
   	60   	-673.557	-655.298	-597.801	9.65386
   	60   	-675.583	-649.957	-597.801	8.74808
   	60   	-680.449	-660.92 	-597.801	11.0482
   	60   	-678.389	-658.556	-597.801	10.0215
   	60   	-661.974	-636.028	-597.801	8.9208 
   	60   	-671.545	-652.351	-597.801	9.82266
   	60   	-683.916	-662.095	-597.801	10.4333
   	60   	-676.561	-662.958	-597.801	7.15711
   	60   	-672.946	-655.673	-597.801	9.55772
   	60   	-671.262	-648.722	-597.801	7.47055
   	60   	-696.979	-666.992	-597.801	12.8001
   	60   	-703.014	-675.824	-597.801	12.7272
   	60   	-681.102	-642.99 	-597.801	10.0468
   	60   	-682.049	-657.831	-597.801	10.8015
   	60   	-689.328	-663.781	-597.801	10.6782
   	60   	-674.333	-658.76 	-597.801	7.18607
   	60   	-694.646	-657.884	-597.801	13.2013
   	60   	-675.663	-658.547	-597.801	8.42937
   	60   	-685.236	-661.327	-597.801	9.24505
   	60   	-682.502	-665.906	-597.801	7.6784 
   	60   	-685.568	-662.794	-597.801	8.95372
   	60   	-680.68 	-655.298	-597.801	11.5001
   	60   	-679.953	-647.665	-597.801	10.1868
   	60   	-666.393	-645.665	-597.801	6.66545
   	60   	-661.566	-647.047	-597.801	5.29162
   	60   	-675.69 	-654.006	-597.801	8.71334
   	60   	-681.98 	-665.353	-597.801	8.20683
   	60   	-680.331	-659.659	-597.801	7.65803
   	60   	-665.234	-649.285	-597.801	8.24273
   	60   	-677.103	-658.27 	-597.801	12.3998
   	60   	-662.197	-644.2  	-597.801	7.63671
   	60   	-687.654	-667.34 	-597.801	10.7976
   	60   	-669.37 	-654.117	-597.801	6.94244
   	60   	-657.274	-627.656	-597.801	9.34512
   	60   	-660.871	-634.753	-597.801	8.2942 
   	60   	-675.87 	-659.341	-597.801	13.0416
   	60   	-678.308	-662.457	-597.801	9.52057
   	60   	-668.067	-647.567	-597.801	6.16678
   	60   	-654.826	-642.364	-597.801	5.32116
   	60   	-673.877	-663.929	-597.801	10.1072
gen	depth	min     	avg     	max     	std    
   	60   	-683.482	-644.899	-613.04 	12.1822
   	60   	-668.405	-638.8  	-613.04 	10.8348
   	60   	-665.271	-635.525	-604.725	10.0463
   	60   	-661.996	-634.316	-594.134	11.3907
   	60   	-665.08 	-635.277	-594.134	11.5905
   	60   	-676.62 	-642.086	-594.134	14.2009
   	60   	-682.58 	-641.041	-594.134	16.0587
   	60   	-676.103	-640.998	-594.134	13.2147
   	60   	-677.317	-640.846	-594.134	14.0653
   	60   	-679.803	-644.291	-594.134	13.5011
   	60   	-677.901	-644.367	-594.134	15.1776
   	60   	-682.232	-648.008	-594.134	13.8055
   	60   	-686.984	-647.672	-594.134	14.6988
   	60   	-689.158	-656.326	-594.134	15.4122
   	60   	-687.005	-654.966	-594.134	14.9401
   	60   	-689.375	-659.867	-594.134	11.659 
   	60   	-676.61 	-652.006	-594.134	10.4226
   	60   	-693.346	-660.585	-594.134	16.6064
   	60   	-691.599	-654.665	-594.134	12.8731
   	60   	-683.52 	-652.202	-594.134	12.3169
   	60   	-685.362	-653.436	-594.134	11.4428
   	60   	-685.683	-656.244	-594.134	12.8791
   	60   	-686.139	-649.708	-594.134	14.4593
   	60   	-674.242	-647.888	-594.134	10.8913
   	60   	-674.171	-644.16 	-594.134	10.1123
   	60   	-686.954	-654.551	-594.134	12.8877
   	60   	-684.351	-655.453	-594.134	10.1973
   	60   	-682.14 	-654.692	-594.134	11.2985
   	60   	-682.289	-652.435	-594.134	10.6704
   	60   	-684.962	-654.143	-594.134	12.2366
   	60   	-686.199	-654.869	-594.134	10.8665
   	60   	-686.321	-658.367	-594.134	11.182 
   	60   	-677.34 	-655.439	-594.134	10.0959
   	60   	-701.444	-664.472	-594.134	13.4469
   	60   	-683.571	-647.152	-594.134	12.4892
   	60   	-705.154	-672.466	-594.134	16.6904
   	60   	-705.902	-657.174	-594.134	13.9966
   	60   	-699.623	-664.49 	-594.134	12.4178
   	60   	-688.395	-658.05 	-594.134	10.6301
   	60   	-694.488	-655.581	-594.134	14.2232
   	60   	-697.114	-668.868	-594.134	13.3091
   	60   	-695.44 	-660.262	-594.134	12.0324
   	60   	-677.109	-645.751	-594.134	11.5546
   	60   	-672.802	-649.511	-594.134	7.9684 
   	60   	-671.136	-643.141	-594.134	8.42225
   	60   	-672.801	-646.832	-594.134	13.2283
   	60   	-668.729	-646.889	-594.134	9.49712
   	60   	-675.096	-651.44 	-594.134	9.01107
   	60   	-656.434	-638.12 	-594.134	7.22519
   	60   	-678.326	-643.568	-594.134	12.0662
   	60   	-678.653	-655.604	-594.134	10.4091
   	60   	-675.355	-652.804	-594.134	8.469  
   	60   	-679.23 	-665.472	-594.134	9.15912
   	60   	-679.414	-659.566	-594.134	10.054 
   	60   	-692.281	-654.577	-594.134	11.9646
   	60   	-686.22 	-666.035	-594.134	10.565 
   	60   	-679.38 	-662.984	-594.134	8.13414
   	60   	-680.402	-653.303	-594.134	9.40547
   	60   	-679.592	-657.037	-594.134	9.39126
   	60   	-683.587	-657.038	-594.134	8.51451
   	60   	-677.108	-653.423	-594.134	6.91454
   	60   	-686.151	-656.18 	-594.134	7.95375
   	60   	-673    	-660.484	-594.134	6.28332
   	60   	-663.036	-644.475	-594.134	6.48305
