1: crossover='0.9', mutation='0.1', n_generations='100'
2: crossover='0.9438639079845842', mutation='0.8572342028720593', n_generations='178'
3: crossover='0.11633485689279055', mutation='0.6055297098729581', n_generations='90'
4: crossover='0.9339728892626993', mutation='0.3838442927432957', n_generations='144'
5: crossover='0.5997089606151438', mutation='0.17184888262759435', n_generations='80'
6: crossover='0.9743833485982715', mutation='0.2886707591589366', n_generations='182'
7: crossover='0.49801686356165953', mutation='0.9813737244788316', n_generations='128'
8: crossover='0.8450567917293934', mutation='0.4871573229320524', n_generations='51'
9: crossover='0.7256675153016645', mutation='0.9059392931641236', n_generations='107'
10: crossover='0.07909294455073212', mutation='0.34052146724927745', n_generations='193'
11: crossover='0.01511001853732874', mutation='0.93510047998887', n_generations='214'
12: crossover='0.3221583451345066', mutation='0.686712723661998', n_generations='149'
13: crossover='0.3604959854991251', mutation='0.8351398949614516', n_generations='96'
14: crossover='0.4556685967763333', mutation='0.9265151705865942', n_generations='174'
15: crossover='0.6452986945759821', mutation='0.22364234012547257', n_generations='52'
16: crossover='0.7111434307604084', mutation='0.46785983119423447', n_generations='118'
17: crossover='0.6624527399502632', mutation='0.7814874840196181', n_generations='217'
18: crossover='0.2985551142008108', mutation='0.29264775692182454', n_generations='217'
19: crossover='0.06730972542217017', mutation='0.6850118193487547', n_generations='233'
20: crossover='0.023984247462910502', mutation='0.30740752263753335', n_generations='121'
21: crossover='0.10288351459976297', mutation='0.8309322920903954', n_generations='56'
22: crossover='0.9772615072895343', mutation='0.3672261052827167', n_generations='235'
23: crossover='0.1900163728126878', mutation='0.8440530343384556', n_generations='55'
24: crossover='0.7004340895802448', mutation='0.710106452442829', n_generations='173'
25: crossover='0.5231317175665613', mutation='0.7817663112866599', n_generations='241'
26: crossover='0.7890897628493982', mutation='0.9087905011779076', n_generations='238'
27: crossover='0.021856387210710926', mutation='0.08425529188399428', n_generations='180'
28: crossover='0.5717336994662391', mutation='0.09354411326809842', n_generations='219'
29: crossover='0.21952504710335807', mutation='0.8537482257726571', n_generations='224'
30: crossover='0.4481744398346179', mutation='0.09822676722846846', n_generations='176'
31: crossover='0.1368493564330695', mutation='0.6679287284681102', n_generations='130'
32: crossover='0.08347610106045955', mutation='0.09698643255363526', n_generations='176'
33: crossover='0.34275096734942845', mutation='0.6698903398622104', n_generations='59'
34: crossover='0.6434354475213853', mutation='0.09801770107839369', n_generations='221'
35: crossover='0.14809878901524576', mutation='0.8601422142994101', n_generations='207'
36: crossover='0.5446417726484605', mutation='0.09812187987603482', n_generations='147'
37: crossover='0.2491641341851678', mutation='0.1660789759888872', n_generations='218'
38: crossover='0.5546863698493744', mutation='0.09808377377626443', n_generations='203'
39: crossover='0.7663463511588788', mutation='0.5880060303955448', n_generations='74'
40: crossover='0.2561653918710439', mutation='0.3146349754078477', n_generations='168'
41: crossover='0.35392323468576237', mutation='0.7780416293099608', n_generations='66'
42: crossover='0.8309177133048224', mutation='0.0031253019759392986', n_generations='121'
43: crossover='0.8788159260798056', mutation='0.6208604024721345', n_generations='244'
44: crossover='0.046778546279198086', mutation='0.07583744287560001', n_generations='162'
45: crossover='0.32899171226104995', mutation='0.13590931361963365', n_generations='169'
46: crossover='0.9814995229831606', mutation='0.03992913456681646', n_generations='102'
47: crossover='0.4988568414194644', mutation='0.9813698356534105', n_generations='155'
48: crossover='0.9789356260891396', mutation='0.18973660771716883', n_generations='136'
49: crossover='0.31472652203277174', mutation='0.9119169924598778', n_generations='177'
50: crossover='0.9795964682048358', mutation='0.6548188164486087', n_generations='150'
51: crossover='0.3755409276680277', mutation='0.9281898989207605', n_generations='127'
52: crossover='0.8978054771926804', mutation='0.02574411772289964', n_generations='206'
53: crossover='0.7942509259958148', mutation='0.7829008993005957', n_generations='171'
54: crossover='0.9800495081725349', mutation='0.9521162225166458', n_generations='71'
55: crossover='0.7911174988234072', mutation='0.1471546637115334', n_generations='98'
56: crossover='0.9836945685144073', mutation='0.17644335489203855', n_generations='172'
57: crossover='0.3866328902624414', mutation='0.061122940872541554', n_generations='204'
58: crossover='0.8187804973223267', mutation='0.39125163082072', n_generations='183'
59: crossover='0.9904946603415036', mutation='0.6942818084912109', n_generations='93'
60: crossover='0.8319401872462391', mutation='0.61356778024608', n_generations='206'
61: crossover='0.10662089695168242', mutation='0.23640695345450569', n_generations='58'
62: crossover='0.8294358511425474', mutation='0.5605428066871887', n_generations='94'
63: crossover='0.2150310456353317', mutation='0.8293759568084285', n_generations='56'
64: crossover='0.3012985240093292', mutation='0.012016799051464244', n_generations='90'
65: crossover='0.3438695851910677', mutation='0.5738118777479134', n_generations='100'
66: crossover='0.8312012417439054', mutation='0.7391998674344228', n_generations='197'
67: crossover='0.4547229297128168', mutation='0.6646209521684104', n_generations='61'
68: crossover='0.05238152248087369', mutation='0.008950212605740138', n_generations='200'
69: crossover='0.12979682133246362', mutation='0.17520098508631887', n_generations='121'
70: crossover='0.2968676985391475', mutation='0.011162562112111973', n_generations='174'
71: crossover='0.5705732619421999', mutation='0.9875957707752339', n_generations='181'
72: crossover='0.019997617443684557', mutation='0.4380140133091126', n_generations='208'
73: crossover='0.692069973767181', mutation='0.07721091570849825', n_generations='104'
74: crossover='0.011410381764248911', mutation='0.92432021632553', n_generations='245'
75: crossover='0.18468267670160055', mutation='0.3513860548284433', n_generations='129'
76: crossover='0.22365101591699144', mutation='0.010351884327095662', n_generations='206'
77: crossover='0.29708767752675524', mutation='0.5542478609992466', n_generations='231'
78: crossover='0.06388669886280907', mutation='0.1431001027962745', n_generations='99'
79: crossover='0.8991612748141395', mutation='0.007929532576703813', n_generations='163'
80: crossover='0.19749764608426967', mutation='0.11268248037297734', n_generations='229'
81: crossover='0.3405289510135583', mutation='0.05078840875329427', n_generations='200'
82: crossover='0.7289407223221342', mutation='0.09805540974301263', n_generations='155'
83: crossover='0.9792436369661535', mutation='0.4674267263560846', n_generations='76'
84: crossover='0.02162170354919357', mutation='0.8732984684278695', n_generations='83'
85: crossover='0.8912109003034782', mutation='0.20905712495066442', n_generations='166'
86: crossover='0.06690180431869985', mutation='0.09913189969105651', n_generations='72'
