1: tournsize='10'
2: tournsize='169'
3: tournsize='115'
4: tournsize='197'
5: tournsize='50'
6: tournsize='163'
7: tournsize='168'
8: tournsize='25'
9: tournsize='246'
10: tournsize='16'
11: tournsize='11'
12: tournsize='2'
13: tournsize='3'
14: tournsize='153'
15: tournsize='92'
16: tournsize='108'
17: tournsize='19'
18: tournsize='243'
19: tournsize='211'
20: tournsize='20'
21: tournsize='154'
22: tournsize='21'
23: tournsize='235'
24: tournsize='172'
25: tournsize='219'
26: tournsize='22'
27: tournsize='137'
28: tournsize='127'
29: tournsize='4'
30: tournsize='13'
31: tournsize='84'
32: tournsize='210'
33: tournsize='48'
