Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,3367.901195,0,1.7976931348623157E308,8792767,0.0,0.0,1,3367.901195,0,0.0,SAT,,400.309,
2,1,1,3451.496239,0,1.7976931348623157E308,13794010,0.0,0.0,1,3451.496239,1,0.0,SAT,,393.224,
3,2,1,3406.407896,0,1.7976931348623157E308,13794010,0.0,0.0,1,3406.407896,1,0.0,SAT,,421.46,
4,2,1,3416.609882,0,1.7976931348623157E308,8792767,0.0,0.0,1,3416.609882,1,0.0,SAT,,401.098,
5,1,1,3288.134764,0,1.7976931348623157E308,12632380,0.0,0.0,1,3288.134764,1,0.0,SAT,,399.985,
6,3,1,3517.600585,0,1.7976931348623157E308,13794010,0.0,0.0,1,3517.600585,1,0.0,SAT,,396.726,
7,1,1,3165.135632,0,1.7976931348623157E308,11794476,0.0,0.0,1,3165.135632,1,0.0,SAT,,394.62,
8,4,1,3746.33277,0,1.7976931348623157E308,12632380,0.0,0.0,1,3746.33277,1,0.0,SAT,,411.866,
9,1,1,3466.689478,0,1.7976931348623157E308,14574700,0.0,0.0,1,3466.689478,1,0.0,SAT,,393.541,
10,5,1,3743.203012,0,1.7976931348623157E308,11794476,0.0,0.0,1,3743.203012,1,0.0,SAT,,399.498,
11,1,1,3455.159792,0,1.7976931348623157E308,10166135,0.0,0.0,1,3455.159792,1,0.0,SAT,,395.871,
12,6,1,3575.591493,0,1.7976931348623157E308,12632380,0.0,0.0,1,3575.591493,1,0.0,SAT,,409.641,
13,1,1,3350.323769,0,1.7976931348623157E308,7673398,0.0,0.0,1,3350.323769,2,0.0,SAT,,393.218,
14,7,1,3631.920966,0,1.7976931348623157E308,12632380,0.0,0.0,1,3631.920966,2,0.0,SAT,,405.649,
15,1,1,3362.779907,0,1.7976931348623157E308,8720656,0.0,0.0,1,3362.779907,2,0.0,SAT,,396.446,
16,8,1,3653.123374,0,1.7976931348623157E308,12632380,0.0,0.0,1,3653.123374,2,0.0,SAT,,407.325,
17,1,1,3515.127268,0,1.7976931348623157E308,3494639,0.0,0.0,1,3515.127268,2,0.0,SAT,,408.659,
18,7,1,3466.940351,0,1.7976931348623157E308,13794010,0.0,0.0,1,3466.940351,2,0.0,SAT,,401.873,
19,1,1,3236.855566,0,1.7976931348623157E308,3476683,0.0,0.0,1,3236.855566,2,0.0,SAT,,398.355,
20,9,1,3688.034045,0,1.7976931348623157E308,10166135,0.0,0.0,1,3688.034045,2,0.0,SAT,,402.099,
21,1,1,3199.496259,0,1.7976931348623157E308,1865372,0.0,0.0,1,3199.496259,2,0.0,SAT,,395.218,
22,10,1,3432.650717,0,1.7976931348623157E308,1865372,0.0,0.0,1,3432.650717,2,0.0,SAT,,400.522,
23,1,1,3471.745827,0,1.7976931348623157E308,15313704,0.0,0.0,1,3471.745827,3,0.0,SAT,,396.089,
24,11,1,3542.584199,0,1.7976931348623157E308,3476683,0.0,0.0,1,3542.584199,3,0.0,SAT,,394.292,
25,1,1,3347.633065,0,1.7976931348623157E308,2248053,0.0,0.0,1,3347.633065,3,0.0,SAT,,404.047,
26,12,1,3513.356261,0,1.7976931348623157E308,10166135,0.0,0.0,1,3513.356261,3,0.0,SAT,,395.378,
27,1,1,3357.152417,0,1.7976931348623157E308,13688243,0.0,0.0,1,3357.152417,3,0.0,SAT,,393.563,
28,11,1,3453.821089,0,1.7976931348623157E308,7673398,0.0,0.0,1,3453.821089,3,0.0,SAT,,413.476,
29,1,1,3441.779437,0,1.7976931348623157E308,11360484,0.0,0.0,1,3441.779437,3,0.0,SAT,,408.536,
30,13,1,3428.635095,0,1.7976931348623157E308,8792767,0.0,0.0,1,3428.635095,3,0.0,SAT,,404.469,
31,1,1,3172.705956,0,1.7976931348623157E308,12089153,0.0,0.0,1,3172.705956,3,0.0,SAT,,417.304,
32,11,1,3414.577556,0,1.7976931348623157E308,8720656,0.0,0.0,1,3414.577556,3,0.0,SAT,,402.847,
33,1,1,3390.592078,0,1.7976931348623157E308,4643227,0.0,0.0,1,3390.592078,4,0.0,SAT,,395.089,
34,14,1,3484.438447,0,1.7976931348623157E308,12089153,0.0,0.0,1,3484.438447,4,0.0,SAT,,413.086,
35,1,1,3344.021448,0,1.7976931348623157E308,9417037,0.0,0.0,1,3344.021448,4,0.0,SAT,,393.035,
36,15,1,3310.152088,0,1.7976931348623157E308,3476683,0.0,0.0,1,3310.152088,4,0.0,SAT,,412.805,
37,15,1,3667.483057,0,1.7976931348623157E308,15313704,0.0,0.0,1,3667.483057,4,0.0,SAT,,405.705,
38,15,1,3606.233607,0,1.7976931348623157E308,2248053,0.0,0.0,1,3606.233607,4,0.0,SAT,,406.252,
39,1,1,3446.096063,0,1.7976931348623157E308,4309701,0.0,0.0,1,3446.096063,4,0.0,SAT,,400.809,
40,16,1,3563.481127,0,1.7976931348623157E308,8792767,0.0,0.0,1,3563.481127,4,0.0,SAT,,404.208,
41,1,1,3328.058929,0,1.7976931348623157E308,12892141,0.0,0.0,1,3328.058929,4,0.0,SAT,,400.274,
42,17,1,3343.395233,0,1.7976931348623157E308,3476683,0.0,0.0,1,3343.395233,4,0.0,SAT,,410.687,
43,17,1,3316.550222,0,1.7976931348623157E308,4309701,0.0,0.0,1,3316.550222,4,0.0,SAT,,418.963,
44,17,1,3925.369154,0,1.7976931348623157E308,8720656,0.0,0.0,1,3925.369154,4,0.0,SAT,,418.401,
45,1,1,3440.625213,0,1.7976931348623157E308,6380708,0.0,0.0,1,3440.625213,5,0.0,SAT,,393.183,
46,18,1,3706.402497,0,1.7976931348623157E308,15313704,0.0,0.0,1,3706.402497,5,0.0,SAT,,394.819,
47,1,1,3472.856236,0,1.7976931348623157E308,10568255,0.0,0.0,1,3472.856236,5,0.0,SAT,,402.174,
48,19,1,3829.262406,0,1.7976931348623157E308,12632380,0.0,0.0,1,3829.262406,5,0.0,SAT,,405.636,
49,1,1,3259.544498,0,1.7976931348623157E308,7295337,0.0,0.0,1,3259.544498,5,0.0,SAT,,398.981,
50,18,1,3611.661304,0,1.7976931348623157E308,4643227,0.0,0.0,1,3611.661304,5,0.0,SAT,,408.797,
51,1,1,3552.746296,0,1.7976931348623157E308,933951,0.0,0.0,1,3552.746296,5,0.0,SAT,,408.861,
52,20,1,3420.400263,0,1.7976931348623157E308,10166135,0.0,0.0,1,3420.400263,5,0.0,SAT,,412.281,
53,1,1,3204.399391,0,1.7976931348623157E308,6980494,0.0,0.0,1,3204.399391,5,0.0,SAT,,394.773,
54,18,1,3562.388735,0,1.7976931348623157E308,12632380,0.0,0.0,1,3562.388735,5,0.0,SAT,,390.861,
55,1,1,3313.670159,0,1.7976931348623157E308,3971554,0.0,0.0,1,3313.670159,5,0.0,SAT,,401.085,
56,21,1,3615.62685,0,1.7976931348623157E308,1865372,0.0,0.0,1,3615.62685,5,0.0,SAT,,406.339,
57,1,1,3448.217506,0,1.7976931348623157E308,15390815,0.0,0.0,1,3448.217506,6,0.0,SAT,,394.769,
58,22,1,3525.672783,0,1.7976931348623157E308,10568255,0.0,0.0,1,3525.672783,6,0.0,SAT,,396.503,
59,1,1,3128.604043,0,1.7976931348623157E308,11487317,0.0,0.0,1,3128.604043,6,0.0,SAT,,393.495,
60,23,1,3489.222122,0,1.7976931348623157E308,3476683,0.0,0.0,1,3489.222122,6,0.0,SAT,,395.943,
61,1,1,3257.025633,0,1.7976931348623157E308,760051,0.0,0.0,1,3257.025633,6,0.0,SAT,,407.05,
62,22,1,3677.139352,0,1.7976931348623157E308,15313704,0.0,0.0,1,3677.139352,6,0.0,SAT,,398.724,
63,1,1,3383.787224,0,1.7976931348623157E308,5369943,0.0,0.0,1,3383.787224,6,0.0,SAT,,403.978,
64,24,1,3264.823393,0,1.7976931348623157E308,12632380,0.0,0.0,1,3264.823393,6,0.0,SAT,,400.351,
